category,subcategory,subsubcategory,subsubsubcategory,unique_id,url
peinture,peinture-exterieure,lasure-et-traitement-exterieur,produit-de-renovation,cat_id_2439.cat,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/produit-de-renovation/produit-de-renovation-multisupport/cat_id_2439.cat
peinture,peinture-exterieure,lasure-et-traitement-exterieur,vernis-exterieur,cat_id_2875.cat,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/vernis-exterieur/cat_id_2875.cat
peinture,peinture-exterieure,peinture-exterieure-bois,,cat_id_2866.cat,https://www.castorama.fr/peinture/peinture-exterieure/peinture-exterieure-bois/cat_id_2866.cat
quincaillerie,vis-boulon-cheville-clou,boulon-ecrou-et-rondelle,boulon-tige-filetee-et-manchon,cat_id_4112.cat,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/boulon-ecrou-et-rondelle/boulon-tige-filetee-et-manchon/cat_id_4112.cat
quincaillerie,vis-boulon-cheville-clou,clou,,cat_id_2911.cat,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/clou/cat_id_2911.cat
quincaillerie,vis-boulon-cheville-clou,boulon-ecrou-et-rondelle,goupille-et-circlip,cat_id_3463.cat,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/boulon-ecrou-et-rondelle/goupille-et-circlip/cat_id_3463.cat
quincaillerie,vis-boulon-cheville-clou,boulon-ecrou-et-rondelle,rondelle,cat_id_2903.cat,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/boulon-ecrou-et-rondelle/rondelle/cat_id_2903.cat
quincaillerie,vis-boulon-cheville-clou,boulon-ecrou-et-rondelle,ecrou,cat_id_2900.cat,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/boulon-ecrou-et-rondelle/ecrou/cat_id_2900.cat
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,treillage-panneau-treillis-et-arceau,,cat_id_907.cat,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/treillage-panneau-treillis-et-arceau/cat_id_907.cat
quincaillerie,quincaillerie-de-meuble,paumelle-d-ameublement,,cat_id_2973.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/paumelle-d-ameublement/cat_id_2973.cat
quincaillerie,quincaillerie-de-meuble,charniere-d-ameublement,,cat_id_2967.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/charniere-d-ameublement/cat_id_2967.cat
quincaillerie,quincaillerie-de-meuble,loquetaux,,cat_id_3014.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/loquetaux/cat_id_3014.cat
quincaillerie,quincaillerie-de-meuble,compas-coulisse-et-coulisseau,,cat_id_2968.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/compas-coulisse-et-coulisseau/cat_id_2968.cat
quincaillerie,quincaillerie-de-meuble,roulette-et-roue,,cat_id_2975.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/roulette-et-roue/cat_id_2975.cat
quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,patin-et-embout,cat_id_0001782.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/patin-et-embout/cat_id_0001782.cat
quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,,cat_id_2963.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/cat_id_2963.cat
quincaillerie,fixation-et-quincaillerie-d-assemblage,ferrure,,cat_id_2955.cat,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/ferrure/cat_id_2955.cat
quincaillerie,fixation-et-quincaillerie-d-assemblage,equerre,,cat_id_2954.cat,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/equerre/cat_id_2954.cat
quincaillerie,fixation-et-quincaillerie-d-assemblage,tourillon-et-lamello,,cat_id_1769.cat,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/tourillon-et-lamello/cat_id_1769.cat
jardin-et-terrasse,abri-de-jardin-garage-carport-et-rangement,niche-poulailler-abri-et-nourriture-pour-animaux,jouet-et-accessoire-pour-animaux,cat_id_5510.cat,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/niche-poulailler-abri-et-nourriture-pour-animaux/jouet-et-accessoire-pour-animaux/cat_id_5510.cat
quincaillerie,serrure-verrou,serrure-et-gache-electrique,,cat_id_3712.cat,https://www.castorama.fr/quincaillerie/serrure-verrou/serrure-et-gache-electrique/cat_id_3712.cat
quincaillerie,serrure-verrou,verrou,,cat_id_3469.cat,https://www.castorama.fr/quincaillerie/serrure-verrou/verrou/cat_id_3469.cat
quincaillerie,serrure-verrou,cylindre-de-serrure,,cat_id_3453.cat,https://www.castorama.fr/quincaillerie/serrure-verrou/cylindre-de-serrure/cat_id_3453.cat
quincaillerie,securite-boites-aux-lettres,armoire-a-fusils,,cat_id_5453.cat,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/armoire-a-fusils/cat_id_5453.cat
quincaillerie,serrure-verrou,serrure-en-applique,,cat_id_3454.cat,https://www.castorama.fr/quincaillerie/serrure-verrou/serrure-en-applique/cat_id_3454.cat
jardin-et-terrasse,portail-portillon-porte-de-garage-et-motorisation,portail-sur-mesure,,cat_id_5063.cat,https://www.castorama.fr/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/portail-sur-mesure/cat_id_5063.cat
jardin-et-terrasse,parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage,pied-et-dalle-de-parasol,,cat_id_1954.cat,https://www.castorama.fr/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/pied-et-dalle-de-parasol/cat_id_1954.cat
jardin-et-terrasse,abri-de-jardin-garage-carport-et-rangement,accessoire-pour-abri-de-jardin,,cat_id_1934.cat,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/accessoire-pour-abri-de-jardin/cat_id_1934.cat
jardin-et-terrasse,tondeuse-et-outil-motorise,deneigeuse-et-sel-de-deneigement,,cat_id_2814.cat,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/deneigeuse-et-sel-de-deneigement/cat_id_2814.cat
jardin-et-terrasse,abri-de-jardin-garage-carport-et-rangement,bucher-range-buches-et-chevalet,,cat_id_1383.cat,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/bucher-range-buches-et-chevalet/cat_id_1383.cat
jardin-et-terrasse,tondeuse-et-outil-motorise,rallonge-electrique-et-enrouleur-de-jardin,,cat_id_5447.cat,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/rallonge-electrique-et-enrouleur-de-jardin/cat_id_5447.cat
jardin-et-terrasse,tondeuse-et-outil-motorise,huile-piece-de-rechange-et-accessoire-pour-outil-motorise,huile-pour-moteur,cat_id_5443.cat,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/huile-pour-moteur/cat_id_5443.cat
jardin-et-terrasse,tondeuse-et-outil-motorise,broyeur-de-vegetaux,,cat_id_1461.cat,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/broyeur-de-vegetaux/cat_id_1461.cat
jardin-et-terrasse,tondeuse-et-outil-motorise,outil-de-jardin-multifonctions,,cat_id_5140.cat,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/outil-de-jardin-multifonctions/cat_id_5140.cat
jardin-et-terrasse,arrosage-pompe-et-recuperateur-d-eau,arrosoir-et-seau,,cat_id_59.cat,https://www.castorama.fr/jardin-et-terrasse/arrosage-pompe-et-recuperateur-d-eau/arrosoir-et-seau/cat_id_59.cat
jardin-et-terrasse,terreau-gazon-traitement-vegetal-semence,desherbant,,cat_id_3509.cat,https://www.castorama.fr/jardin-et-terrasse/terreau-gazon-traitement-vegetal-semence/desherbant/cat_id_3509.cat
