unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
3107930038114_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,eponge-serpillere-et-accessoire-de-lavage,cat_id_2666.cat,15+5 serpillières sols jetables soleil corse,"9,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/eponge-serpillere-et-accessoire-de-lavage/cat_id_2666.cat/15-5-serpillieres-sols-jetables-soleil-corse/3107930038114_CAFR.prd
3142762905623_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,seau-bassine-recipient-de-menage,cat_id_4132.cat,Seau à usage ménager en plastique souple ø28 cm 10L gris bleu,"8,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/seau-bassine-recipient-de-menage/cat_id_4132.cat/seau-a-usage-menager-en-plastique-souple-28-cm-10l-gris-bleu/3142762905623_CAFR.prd
3283491501202_CAFR.prd,outillage,compresseur-et-accessoire,accessoire-compresseur,cat_id_0001475.cat,Pistolet basse pression Mecafer gris et noir 1L,"69,90",https://www.castorama.fr/outillage/compresseur-et-accessoire/accessoire-compresseur/cat_id_0001475.cat/pistolet-basse-pression-mecafer-gris-et-noir-1l/3283491501202_CAFR.prd
8434691396517_CAFR.prd,outillage,compresseur-et-accessoire,compresseur,cat_id_0001474.cat,Compresseur d'air Silencieux 24 Litres 8 bar 2CV 1.5KW 115 PSI GOODYEAR,179,https://www.castorama.fr/outillage/compresseur-et-accessoire/compresseur/cat_id_0001474.cat/departments/compresseur-d-air-silencieux-24-litres-8-bar-2cv-1-5kw-115-psi-goodyear/8434691396517_CAFR.prd
3660212700036_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,cat_id_2879.cat,Plaque pivot pour moteur 75 x 75mm Protecta,"6,50",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/plaque-pivot-pour-moteur-75-x-75mm-protecta/3660212700036_CAFR.prd
3391780075997_CAFR.prd,outillage,materiel-de-chantier,outils-du-macon,auge-et-seau,Seau de maçon en plastique Ocai 11 L,"1,50",https://www.castorama.fr/outillage/materiel-de-chantier/outils-du-macon/auge-et-seau/cat_id_1667.cat/seau-de-macon-en-plastique-ocai-11-l/3391780075997_CAFR.prd
3166720038000_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,balai-d-exterieur-balai-a-feuille-et-a-gazon,cat_id_3417.cat,Balayette manche long Coco Extra - BROSSERIE THOMAS - 3800,"9,47",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/balai-d-exterieur-balai-a-feuille-et-a-gazon/cat_id_3417.cat/departments/balayette-manche-long-coco-extra-brosserie-thomas-3800/3166720038000_CAFR.prd
3328680072658_CAFR.prd,jardin-et-terrasse,tondeuse-et-outil-motorise,huile-piece-de-rechange-et-accessoire-pour-outil-motorise,jerrican-d-essence-graisse-et-lubrifiant,Dégrippant choc thermique 520ml aérosol RontProduction,"13,90",https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat/degrippant-choc-thermique-520ml-aerosol-rontproduction/3328680072658_CAFR.prd
5905568540409_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,outil-combinable,cat_id_1398.cat,Grattoir de jardin Fiskars QuikFit™ noir et orange,"21,90",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/outil-combinable/cat_id_1398.cat/grattoir-de-jardin-fiskars-quikfit-noir-et-orange/5905568540409_CAFR.prd
5400258093000_CAFR.prd,droguerie-entretien-de-la-maison,entretien-cuisine-et-salle-de-bains,deboucheur,cat_id_550.cat,Déboucheur soude caustique Fulgurant 1L,"4,99",https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/deboucheur/cat_id_550.cat/deboucheur-soude-caustique-fulgurant-1l/5400258093000_CAFR.prd
